objid,l,b,g,r,i,psfMagErr_g,psfMagErr_r,psfMagErr_i
1237662530601223077,357.669383296584,69.3815151351318,21.87705,21.47245,21.268,0.07725409,0.06413526,0.09010414
1237662530601222319,357.652771398775,69.4474024168849,17.91737,17.37272,17.18092,0.02437527,0.01639828,0.02759276
1237662530601222341,357.622137431866,69.4059320099195,21.5096,21.26465,20.97409,0.06032255,0.05545938,0.07298458
1237662530601222353,357.687152391191,69.3996874834171,18.91368,18.59258,18.51645,0.02533631,0.01761303,0.02895346
1237662530601222362,357.670757130172,69.3770022291927,18.38143,17.63922,17.38692,0.024712,0.01653889,0.02770225
1237662530601222946,357.664843942448,69.4411326422007,22.77448,22.73049,22.9392,0.1613467,0.1855517,0.352525
1237662530601222964,357.672878865126,69.4341888488878,22.74757,22.25471,22.37035,0.1574949,0.1235181,0.2222588
1237662530601222981,357.702445844266,69.4308875506933,22.47949,21.78337,21.5819,0.1251413,0.08303179,0.1148235
1237662530601223038,357.716941551497,69.4173354613457,23.25276,22.2503,21.09484,0.2383735,0.1230219,0.07819451
1237662530601223248,357.608283971345,69.4502223562405,23.58229,22.6107,22.72847,0.317159,0.1676596,0.2958276
1237662530601223258,357.626102714007,69.448387427455,23.32216,22.44419,22.36173,0.2565712,0.1454224,0.2186043
1237662530601223363,357.62453353324,69.3851607795098,23.39001,22.69873,23.25947,0.2709172,0.1792949,0.4515146
1237662530601223375,357.694111051467,69.3962442628254,23.59229,22.56296,22.87927,0.3154826,0.1603405,0.3431183
1237662530601223377,357.672334940691,69.3885999895457,23.39989,22.49305,21.189,0.2714767,0.1508807,0.0845326
1237662530601223380,357.600097843911,69.368514455508,23.6025,22.51445,22.24109,0.3209371,0.1528449,0.2016202
1237662531138158937,358.565412642582,69.5835007925621,22.4534,22.10221,22.00636,0.1198678,0.1439274,0.2852143
1237662531138093117,358.222988393578,69.5801620616861,15.76883,15.32788,15.17915,0.02333918,0.01669602,0.02200864
1237662531138093135,358.421513298356,69.5905705902855,17.45746,16.56335,16.20139,0.03092911,0.0196359,0.02392622
1237662531138093136,358.422998580125,69.5897687265051,17.98444,17.63042,17.51527,0.06835632,0.1202557,0.1586295
1237662531138093137,358.412906182101,69.5906518702797,20.68234,20.24676,20.05033,0.03722667,0.0300055,0.03956653
1237662531138093171,358.431762794576,69.5544037576947,23.78029,22.76586,23.21695,0.4013675,0.2101841,0.3297814
1237662531138093284,358.327507834967,69.5717811223712,20.10631,19.67136,19.53353,0.02961928,0.02266391,0.03009661
1237662531138093287,358.379519995557,69.5829310801325,19.53907,19.5164,19.58897,0.02639157,0.02170337,0.03088131
1237662531138093288,358.377768032054,69.5811214857466,23.2356,22.85569,22.12604,0.2603635,0.2288803,0.1963956
1237662531138093298,358.286477386511,69.5415218210677,19.67088,19.13446,18.87998,0.02680838,0.01968409,0.02528975
1237662531138093300,358.596907118655,69.6067940079716,17.93244,17.46516,17.29993,0.02376289,0.01712789,0.02246122
1237662531138093349,358.259382255685,69.5767450616648,20.31727,19.55224,19.31458,0.03321458,0.02575393,0.04031277
1237662531138093360,358.376040970992,69.5639707275883,20.50828,19.76577,19.5451,0.03388202,0.02345521,0.03034369
1237662531138093449,358.553037570147,69.600538481725,20.7656,20.13595,19.85612,0.03815005,0.02790775,0.03537243
1237662531138093816,358.58354191076,69.6691165941324,22.6112,21.81537,21.67213,0.1459425,0.09379692,0.1354621
1237662531138093819,358.279523334309,69.5947030680978,21.87006,21.29611,21.02358,0.07926594,0.05841589,0.07405259
1237662531138093823,358.312872520363,69.6011796761548,21.60397,21.09831,21.11469,0.06484585,0.06100892,0.0801368
1237662531138093826,358.281611791734,69.5923281669425,22.76819,21.70807,21.21824,0.1665372,0.08147115,0.08670284
1237662531138093831,358.582083476291,69.663113470101,22.9106,22.48768,23.06921,0.18815,0.1665621,0.8913451
1237662531138093834,358.294777262715,69.5891027337555,21.27004,20.97218,20.70819,0.0512098,0.04575922,0.05825735
1237662531138093835,358.49739057247,69.636941970437,22.55099,22.37307,22.41451,0.1392591,0.1487523,0.2514101
1237662531138093843,358.286087540593,69.5822802797627,22.43068,22.25375,22.32956,0.1248589,0.1290087,0.2236338
1237662531138093850,358.510751718027,69.6351074264137,22.48624,22.28195,22.26892,0.1317531,0.1376796,0.2226137
1237662531138093853,358.565658842853,69.6472885319718,22.11781,21.74108,21.49597,0.09678496,0.08762213,0.1159345
1237662531138093860,358.572896213777,69.6444805954957,22.94546,22.52964,22.34985,0.2006459,0.2038236,0.2833315
